Municipality,County,Year,Electric Utility,Residential Electricity,Commercial Electricity,Industrial Electricity,Street Lighting Electricity,Total Electricity (kWh),Natural Gas Utility,Residential Natural Gas,Commercial Natural Gas,Industrial Natural Gas,Street Lighting Natural Gas,Total Natural Gas (Therms)
Allendale Borough,Bergen,2021,RECO/PSEG,"28,222,487","26,979,694",NDA,"112,185","55,314,366",PSEG,"3,481,728","1,227,296","13,708",NDA,"4,722,732"
Allendale Borough,Bergen,2022,RECO/PSEG,"12,492","16,215",NDA,NDA,"28,707",PSEG,"3,479,485","1,236,347","11,833",NDA,"4,727,665"
Alpine Borough,Bergen,2016,RECO,"20,337,317",NDA,NDA,NDA,"20,337,317",PSEG,"2,071,571","117,418",NDA,NDA,"2,188,989"
Alpine Borough,Bergen,2017,RECO,"19,628,991",NDA,NDA,NDA,"19,628,991",PSEG,"2,196,787","122,085",NDA,NDA,"2,318,872"
Alpine Borough,Bergen,2018,RECO,"20,622,830","5,227,508",NDA,"43,126","25,893,464",PSEG,"2,447,848","142,899",NDA,NDA,"2,590,746"
Alpine Borough,Bergen,2019,RECO,"19,779,472","5,122,068",NDA,"42,872","24,944,412",PSEG,"2,349,204","141,972",NDA,NDA,"2,491,176"
Alpine Borough,Bergen,2020,RECO,"20,250,252","5,072,901",NDA,"43,235","25,366,388",PSEG,"2,185,929","108,470",NDA,NDA,"2,294,399"
Alpine Borough,Bergen,2021,RECO,"20,207,219","5,349,174",NDA,"43,111","25,599,504",PSEG,"2,249,093","135,921",NDA,NDA,"2,385,014"
Alpine Borough,Bergen,2022,RECO,NDA,NDA,NDA,NDA,NDA,PSEG,"2,166,979","126,780",NDA,NDA,"2,293,759"
Bergenfield Borough,Bergen,2016,PSEG,"68,297,992","32,540,128","1,005,115","1,115,204","102,958,439",PSEG,"6,679,602","2,176,407","123,083",NDA,"8,979,092"
Bergenfield Borough,Bergen,2017,PSEG,"65,379,208","31,144,845","1,132,976","948,149","98,605,178",PSEG,"7,045,148","2,322,150","131,048",NDA,"9,498,345"
Bergenfield Borough,Bergen,2018,PSEG,"69,316,537","28,399,637","1,027,485","1,065,503","99,809,162",PSEG,"7,912,407","2,543,517","139,238",NDA,"10,595,161"
Bergenfield Borough,Bergen,2019,PSEG,"65,982,982","27,828,896","546,930","1,100,537","95,459,345",PSEG,"7,698,067","2,469,891","63,038",NDA,"10,230,996"
Bergenfield Borough,Bergen,2020,PSEG,"69,714,154","26,155,609","654,325","1,098,076","97,622,164",PSEG,"6,997,191","2,230,575","64,515",NDA,"9,292,282"
Bergenfield Borough,Bergen,2021,PSEG,"69,607,368","26,965,984","658,059","1,146,635","98,378,046",PSEG,"7,413,450","2,354,439","65,631",NDA,"9,833,520"
Bergenfield Borough,Bergen,2022,PSEG,"68,191,328","27,212,244","696,691","1,128,933","97,229,196",PSEG,"7,322,232","2,530,297","60,816",NDA,"9,913,344"
Bogota Borough,Bergen,2016,PSEG,"20,144,532","8,409,896","1,004,132","385,768","29,944,328",PSEG,"2,098,439","722,122","22,973",NDA,"2,843,533"
Bogota Borough,Bergen,2017,PSEG,"19,428,604","7,966,570","996,318","350,193","28,741,685",PSEG,"2,179,608","768,962","26,036",NDA,"2,974,606"
Bogota Borough,Bergen,2018,PSEG,"20,657,289","8,472,612","748,746","371,396","30,250,043",PSEG,"2,465,260","862,326","36,828",NDA,"3,364,414"
Bogota Borough,Bergen,2019,PSEG,"19,410,199","8,522,529","647,912","398,911","28,979,551",PSEG,"2,343,394","832,038","38,133",NDA,"3,213,565"
Bogota Borough,Bergen,2020,PSEG,"20,403,358","7,831,207","587,344","393,802","29,215,711",PSEG,"2,162,510","696,250","33,628",NDA,"2,892,388"
Bogota Borough,Bergen,2021,PSEG,"21,358,167","8,014,780","552,051","390,878","30,315,876",PSEG,"2,370,541","754,278","43,732",NDA,"3,168,551"
Bogota Borough,Bergen,2022,PSEG,"21,621,681","8,053,741","583,920","391,383","30,650,725",PSEG,"2,358,561","784,713","36,618",NDA,"3,179,893"
Carlstadt Borough,Bergen,2016,PSEG,"16,901,648","340,991,624","46,792,846","600,370","405,286,488",PSEG,"1,746,442","3,627,372","2,308,479",NDA,"7,682,294"
Carlstadt Borough,Bergen,2017,PSEG,"16,003,467","337,546,105","48,518,861","602,026","402,670,459",PSEG,"1,767,415","3,857,967","2,372,147",NDA,"7,997,529"
Carlstadt Borough,Bergen,2018,PSEG,"16,696,343","294,097,371","99,208,020","631,416","410,633,150",PSEG,"1,958,377","4,526,492","2,578,135",NDA,"9,063,004"
Carlstadt Borough,Bergen,2019,PSEG,"15,833,252","272,794,066","118,642,065","587,749","407,857,132",PSEG,"1,893,197","4,198,176","2,490,196",NDA,"8,581,569"
Carlstadt Borough,Bergen,2020,PSEG,"16,624,547","268,515,129","106,453,463","642,780","392,235,919",PSEG,"1,700,202","3,595,887","2,248,087",NDA,"7,544,176"
Carlstadt Borough,Bergen,2021,PSEG,"16,416,822","267,266,098","106,925,300","642,960","391,251,180",PSEG,"1,758,958","3,940,494","2,263,102",NDA,"7,962,554"
Carlstadt Borough,Bergen,2022,PSEG,"16,236,096","267,556,807","101,754,272","640,233","386,187,408",PSEG,"1,868,243","4,406,667","2,621,156",NDA,"8,896,066"
Cliffside Park Borough,Bergen,2016,PSEG,"69,634,144","42,078,855","67,027","1,023,492","112,803,518",PSEG,"4,590,292","2,662,501","126,533",NDA,"7,379,326"
Cliffside Park Borough,Bergen,2017,PSEG,"67,349,665","42,739,501","54,316","1,103,826","111,247,308",PSEG,"4,658,562","2,718,998","165,320",NDA,"7,542,880"
Cliffside Park Borough,Bergen,2018,PSEG,"74,866,272","47,740,876","50,987","950,598","123,608,733",PSEG,"5,224,047","3,038,985","174,205",NDA,"8,437,236"
Cliffside Park Borough,Bergen,2019,PSEG,"71,072,367","46,230,584","75,610","1,110,186","118,488,747",PSEG,"5,048,139","3,038,871","171,712",NDA,"8,258,722"
Cliffside Park Borough,Bergen,2020,PSEG,"71,514,491","43,351,883","65,861","937,036","115,869,271",PSEG,"4,682,480","2,718,716","158,015",NDA,"7,559,211"
Cliffside Park Borough,Bergen,2021,PSEG,"70,846,993","43,989,089","98,553","1,024,161","115,958,796",PSEG,"4,778,150","2,756,608","176,784",NDA,"7,711,542"
Cliffside Park Borough,Bergen,2022,PSEG,"72,133,945","45,324,282","77,110","1,115,669","118,651,006",PSEG,"4,941,048","2,867,060","164,759",NDA,"7,972,867"
Closter Borough,Bergen,2016,RECO/PSEG,"33,058,986","22,408,744",NDA,NDA,"55,467,730",PSEG,"3,817,083","947,969","46,614",NDA,"4,811,666"
Closter Borough,Bergen,2017,RECO/PSEG,"31,164,327","23,154,864",NDA,NDA,"54,319,191",PSEG,"3,988,879","1,125,556","43,987",NDA,"5,158,423"
Closter Borough,Bergen,2018,RECO/PSEG,"32,387,359","24,073,337",NDA,"113,230","56,573,926",PSEG,"4,399,872","1,298,526","51,067",NDA,"5,749,464"
Closter Borough,Bergen,2019,RECO/PSEG,"30,530,501","24,564,394",NDA,"112,741","55,207,636",PSEG,"4,255,044","1,295,748","50,603",NDA,"5,601,395"
Closter Borough,Bergen,2020,RECO/PSEG,"32,715,501","22,243,617",NDA,"118,127","55,077,245",PSEG,"3,929,154","1,082,292","45,707",NDA,"5,057,153"
Closter Borough,Bergen,2021,RECO/PSEG,"32,850,128","23,505,682",NDA,"131,980","56,487,790",PSEG,"4,129,109","1,218,348","50,000",NDA,"5,397,456"
Closter Borough,Bergen,2022,RECO/PSEG,"4,323",NDA,NDA,NDA,"4,323",PSEG,"4,092,311","1,197,814","44,629",NDA,"5,334,754"
Cresskill Borough,Bergen,2016,RECO/PSEG,"34,434,069","17,126,595",NDA,NDA,"51,560,664",PSEG,"3,855,025","557,957","24,289",NDA,"4,437,272"
Cresskill Borough,Bergen,2017,RECO/PSEG,"32,982,710","16,180,785",NDA,NDA,"49,163,495",PSEG,"4,073,039","597,703","23,125",NDA,"4,693,867"
Cresskill Borough,Bergen,2018,RECO/PSEG,"35,131,887","16,330,252",NDA,"158,773","51,620,912",PSEG,"4,504,769","659,432","24,634",NDA,"5,188,835"
Cresskill Borough,Bergen,2019,RECO/PSEG,"33,330,501","15,577,374",NDA,"161,022","49,068,897",PSEG,"4,389,866","631,382","22,317",NDA,"5,043,566"
Cresskill Borough,Bergen,2020,RECO/PSEG,"35,614,827","13,797,436",NDA,"162,928","49,575,191",PSEG,"4,080,426","567,533","18,920",NDA,"4,666,879"
Cresskill Borough,Bergen,2021,RECO/PSEG,"35,577,973","13,853,504",NDA,"168,846","49,600,323",PSEG,"4,257,042","584,416","18,462",NDA,"4,859,920"
Cresskill Borough,Bergen,2022,RECO/PSEG,"141,865","62,265",NDA,NDA,"204,130",PSEG,"4,213,680","537,603","16,453",NDA,"4,767,737"
Demarest Borough,Bergen,2016,RECO,"22,457,683",NDA,NDA,NDA,"22,457,683",PSEG,"2,588,557","364,209",200,NDA,"2,952,966"
Demarest Borough,Bergen,2017,RECO,"21,360,158","6,026,475",NDA,NDA,"27,386,633",PSEG,"2,724,860","382,282",182,NDA,"3,107,325"
Demarest Borough,Bergen,2018,RECO,"22,081,723","6,881,786",NDA,"73,358","29,036,867",PSEG,"3,023,959","428,725",155,NDA,"3,452,839"
Demarest Borough,Bergen,2019,RECO,"21,146,044","6,553,408",NDA,"71,550","27,771,002",PSEG,"2,962,977","416,496",286,NDA,"3,379,759"
Demarest Borough,Bergen,2020,RECO,"22,685,245","5,658,647",NDA,"71,982","28,415,874",PSEG,"2,736,814","320,982","1,163",NDA,"3,058,959"
Demarest Borough,Bergen,2021,RECO,"22,646,187","5,711,271",NDA,"72,292","28,429,750",PSEG,"2,844,603","439,337","1,297",NDA,"3,285,237"
Demarest Borough,Bergen,2022,RECO,NDA,NDA,NDA,NDA,NDA,PSEG,"2,822,769","418,811","1,312",NDA,"3,242,892"
Dumont Borough,Bergen,2016,PSEG,"48,822,550","14,709,151","1,400,578","735,393","65,667,672",PSEG,"4,768,091","1,286,289","18,904",NDA,"6,073,285"
Dumont Borough,Bergen,2017,PSEG,"46,296,898","14,290,249","1,303,719","673,561","62,564,427",PSEG,"4,962,939","1,348,247","18,059",NDA,"6,329,246"
Dumont Borough,Bergen,2018,PSEG,"49,052,688","14,778,701","1,255,644","732,169","65,819,202",PSEG,"5,590,804","1,489,829","19,859",NDA,"7,100,492"
Dumont Borough,Bergen,2019,PSEG,"46,156,546","14,406,396","1,262,438","729,628","62,555,008",PSEG,"5,410,275","1,453,070","23,108",NDA,"6,886,453"
Dumont Borough,Bergen,2020,PSEG,"48,684,542","13,438,420","1,246,087","735,022","64,104,071",PSEG,"4,974,825","1,315,324","19,786",NDA,"6,309,935"
Dumont Borough,Bergen,2021,PSEG,"48,431,552","13,666,793","1,204,899","764,448","64,067,692",PSEG,"5,256,588","1,474,899","18,811",NDA,"6,750,298"
Dumont Borough,Bergen,2022,PSEG,"47,818,817","14,142,709","1,163,424","756,965","63,881,915",PSEG,"5,228,058","1,490,728","20,288",NDA,"6,739,074"
East Rutherford Borough,Bergen,2016,PSEG,"26,476,083","112,052,682","71,450,781","842,221","210,821,767",PSEG,"1,943,817","3,586,834","548,849",NDA,"6,079,500"
East Rutherford Borough,Bergen,2017,PSEG,"25,546,089","109,510,787","70,931,732","802,490","206,791,098",PSEG,"2,086,574","4,344,895","654,781",NDA,"7,086,249"
East Rutherford Borough,Bergen,2018,PSEG,"26,964,034","167,308,552","25,947,743","848,730","221,069,059",PSEG,"2,368,767","5,231,099","743,034",NDA,"8,342,900"
East Rutherford Borough,Bergen,2019,PSEG,"25,516,762","214,793,620","9,706,974","859,203","250,876,559",PSEG,"2,249,056","4,450,043","559,953",NDA,"7,259,052"
East Rutherford Borough,Bergen,2020,PSEG,"26,629,716","219,193,603","9,124,827","870,340","255,818,486",PSEG,"2,035,462","4,753,910","407,960",NDA,"7,197,332"
East Rutherford Borough,Bergen,2021,PSEG,"27,397,557","259,115,028","9,391,521","875,772","296,779,878",PSEG,"2,198,609","5,811,443","378,652",NDA,"8,388,704"
East Rutherford Borough,Bergen,2022,PSEG,"27,245,414","255,113,088","8,680,169","869,464","291,908,135",PSEG,"2,139,755","5,216,370","365,466",NDA,"7,721,591"
Edgewater Borough,Bergen,2016,PSEG,"44,608,030","69,957,984","2,007,145","598,548","117,171,707",PSEG,"1,669,016","2,344,450","80,194",NDA,"4,093,659"
Edgewater Borough,Bergen,2017,PSEG,"44,321,950","72,593,424","1,994,137","576,978","119,486,489",PSEG,"1,749,823","2,630,493","83,431",NDA,"4,463,746"
Edgewater Borough,Bergen,2018,PSEG,"48,162,132","75,739,146","2,180,035","648,526","126,729,839",PSEG,"2,016,331","3,290,687","86,614",NDA,"5,393,632"
Edgewater Borough,Bergen,2019,PSEG,"46,474,324","70,766,259","2,160,813","652,709","120,054,105",PSEG,"1,962,843","2,985,524","86,456",NDA,"5,034,823"
Edgewater Borough,Bergen,2020,PSEG,"46,684,653","62,076,271","1,939,570","680,273","111,380,767",PSEG,"1,774,366","2,780,699","57,733",NDA,"4,612,798"
Edgewater Borough,Bergen,2021,PSEG,"47,440,079","65,293,072","1,985,845","675,432","115,394,428",PSEG,"1,890,030","2,800,470","66,663",NDA,"4,757,164"
Edgewater Borough,Bergen,2022,PSEG,"48,550,055","66,597,041","1,894,546","735,711","117,777,353",PSEG,"1,887,320","2,921,343","69,040",NDA,"4,877,702"
Elmwood Park Borough,Bergen,2016,PSEG,"52,379,655","58,031,525","178,808,659","1,176,188","290,396,027",PSEG,"5,000,714","16,789,102","274,582",NDA,"22,064,398"
Elmwood Park Borough,Bergen,2017,PSEG,"49,265,633","58,706,383","180,340,113","1,163,107","289,475,236",PSEG,"5,046,926","14,364,413","329,817",NDA,"19,741,155"
Elmwood Park Borough,Bergen,2018,PSEG,"51,990,915","62,874,594","182,346,811","1,235,606","298,447,926",PSEG,"5,668,063","15,997,836","329,708",NDA,"21,995,607"
Elmwood Park Borough,Bergen,2019,PSEG,"49,393,256","60,826,433","67,407,250","1,293,634","178,920,573",PSEG,"5,507,736","8,642,390","249,582",NDA,"14,399,707"
Elmwood Park Borough,Bergen,2020,PSEG,"51,981,410","56,065,874","100,167,917","1,318,274","209,533,475",PSEG,"5,062,789","6,748,745","214,669",NDA,"12,026,203"
Elmwood Park Borough,Bergen,2021,PSEG,"50,784,873","55,265,980","86,134,902","1,319,120","193,504,875",PSEG,"5,167,061","10,424,717","238,082",NDA,"15,829,860"
Elmwood Park Borough,Bergen,2022,PSEG,"51,102,702","58,019,901","99,851,578","1,287,578","210,261,759",PSEG,"5,395,600","10,374,861","228,172",NDA,"15,998,634"
Emerson Borough,Bergen,2016,PSEG,"25,197,191","19,822,419","365,068","464,721","45,849,399",PSEG,"2,661,079","661,291","13,101",NDA,"3,335,472"
Emerson Borough,Bergen,2017,PSEG,"23,706,652","18,903,845","339,100","464,761","43,414,358",PSEG,"2,622,079","696,538","10,348",NDA,"3,328,965"
Emerson Borough,Bergen,2018,PSEG,"25,156,797","20,106,807","266,142","468,962","45,998,708",PSEG,"2,898,445","774,133","13,895",NDA,"3,686,473"
Emerson Borough,Bergen,2019,PSEG,"23,629,371","18,961,664","210,134","469,895","43,271,064",PSEG,"2,802,396","707,116","12,726",NDA,"3,522,238"
Emerson Borough,Bergen,2020,PSEG,"25,018,646","17,206,080","200,673","488,924","42,914,323",PSEG,"2,581,162","592,004","11,434",NDA,"3,184,600"
Emerson Borough,Bergen,2021,PSEG,"24,398,065","16,774,312","211,941","493,206","41,877,524",PSEG,"2,676,378","644,376","12,627",NDA,"3,333,381"
Emerson Borough,Bergen,2022,PSEG,"24,335,591","16,874,490","170,727","488,824","41,869,632",PSEG,"2,754,056","667,790","16,632",NDA,"3,438,478"
Englewood City,Bergen,2016,PSEG/ACE,"88,976,018","144,730,919","8,839,985","3,685,592","246,232,514",PSEG,"8,587,684","7,691,800","849,829",NDA,"17,129,313"
Englewood City,Bergen,2017,PSEG/ACE,"85,524,060","138,464,963","8,537,429","3,491,470","236,017,922",PSEG,"8,757,139","7,787,485","726,302",NDA,"17,270,927"
Englewood City,Bergen,2018,PSEG/ACE,"90,263,789","138,346,812","9,562,463","3,476,960","241,650,024",PSEG,"9,558,849","8,878,964","730,233",NDA,"19,168,046"
Englewood City,Bergen,2019,PSEG/ACE,"86,515,075","139,459,370","8,723,176","3,326,133","238,023,754",PSEG,"9,363,749","8,651,356","740,529",NDA,"18,755,634"
Englewood City,Bergen,2020,PSEG/ACE,"90,360,246","129,627,440","7,783,806","3,296,350","231,067,842",PSEG,"8,603,392","7,643,060","646,225",NDA,"16,892,677"
Englewood City,Bergen,2021,PSEG/ACE,"90,217,103","130,220,228","7,612,323","3,299,911","231,349,565",PSEG,"8,965,745","7,989,024","598,471",NDA,"17,553,240"
Englewood City,Bergen,2022,PSEG/ACE,"90,335,054","132,130,400","7,026,036","3,260,394","232,751,884",PSEG,"9,102,378","7,994,627","604,666",NDA,"17,701,672"
Englewood Cliffs Borough,Bergen,2016,PSEG,"26,234,819","74,863,950","690,056","184,059","101,972,884",PSEG,"3,316,733","1,253,560","21,954",NDA,"4,592,247"
Englewood Cliffs Borough,Bergen,2017,PSEG,"24,824,717","72,246,520","692,004","191,506","97,954,747",PSEG,"3,388,794","1,233,804","23,476",NDA,"4,646,074"
Englewood Cliffs Borough,Bergen,2018,PSEG,"26,128,397","70,575,901","757,295","450,675","97,912,268",PSEG,"3,865,749","1,434,084","25,410",NDA,"5,325,242"
Englewood Cliffs Borough,Bergen,2019,PSEG,"24,854,635","69,486,923","811,915","619,229","95,772,702",PSEG,"3,715,423","1,352,620","23,442",NDA,"5,091,484"
Englewood Cliffs Borough,Bergen,2020,PSEG,"26,000,926","67,662,461","686,663","624,938","94,974,988",PSEG,"3,417,754","1,269,279","21,100",NDA,"4,708,133"
Englewood Cliffs Borough,Bergen,2021,PSEG,"25,888,024","67,293,580","740,619","625,140","94,547,363",PSEG,"3,516,558","1,210,683","22,309",NDA,"4,749,549"
Englewood Cliffs Borough,Bergen,2022,PSEG,"25,819,852","68,117,560","799,745","625,146","95,362,303",PSEG,"3,543,843","1,297,340","22,399",NDA,"4,863,583"
Fair Lawn Borough,Bergen,2016,PSEG,"97,124,146","120,090,193","22,559,177","1,407,044","241,180,560",PSEG,"10,324,410","3,532,720","3,230,805",NDA,"17,087,935"
Fair Lawn Borough,Bergen,2017,PSEG,"91,432,826","112,718,334","22,388,309","1,208,097","227,747,566",PSEG,"10,459,750","3,528,317","3,194,930",NDA,"17,182,997"
Fair Lawn Borough,Bergen,2018,PSEG,"96,518,412","107,053,329","21,338,907","1,595,408","226,506,056",PSEG,"11,797,032","4,095,929","3,222,347",NDA,"19,115,308"
Fair Lawn Borough,Bergen,2019,PSEG,"91,070,432","104,697,798","20,076,460","1,534,590","217,379,280",PSEG,"11,288,570","3,772,747","3,345,145",NDA,"18,406,461"
Fair Lawn Borough,Bergen,2020,PSEG,"97,155,612","101,797,404","21,080,546","1,424,939","221,458,501",PSEG,"10,464,974","3,315,624","3,066,846",NDA,"16,847,444"
Fair Lawn Borough,Bergen,2021,PSEG,"96,115,088","88,644,049","19,027,721","1,481,930","205,268,788",PSEG,"10,783,606","3,542,511","2,493,934",NDA,"16,820,051"
Fair Lawn Borough,Bergen,2022,PSEG,"95,310,590","80,662,118","19,378,151","1,458,458","196,809,317",PSEG,"10,981,622","3,774,426","1,748,842",NDA,"16,504,890"
Fairview Borough,Bergen,2016,PSEG,"28,053,964","26,497,804","5,385,787","985,320","60,922,875",PSEG,"2,739,054","1,834,935","236,332",NDA,"4,810,321"
Fairview Borough,Bergen,2017,PSEG,"26,546,703","26,621,516","3,985,570","1,016,752","58,170,541",PSEG,"2,796,132","1,916,612","187,703",NDA,"4,900,447"
Fairview Borough,Bergen,2018,PSEG,"27,993,940","27,112,369","4,436,255","973,708","60,516,272",PSEG,"3,113,751","2,215,347","201,303",NDA,"5,530,400"
Fairview Borough,Bergen,2019,PSEG,"26,716,689","26,036,921","4,183,912","1,070,186","58,007,708",PSEG,"3,014,850","2,054,820","170,766",NDA,"5,240,436"
Fairview Borough,Bergen,2020,PSEG,"28,442,584","24,255,126","3,992,354","1,029,277","57,719,341",PSEG,"2,811,098","1,838,580","141,729",NDA,"4,791,408"
Fairview Borough,Bergen,2021,PSEG,"28,445,518","25,401,878","3,802,573","1,019,906","58,669,875",PSEG,"2,877,384","1,909,186","135,375",NDA,"4,921,946"
Fairview Borough,Bergen,2022,PSEG,"28,725,276","25,661,720","4,312,099","1,007,613","59,706,708",PSEG,"2,982,110","2,004,352","152,055",NDA,"5,138,517"
Fort Lee Borough,Bergen,2016,PSEG,"90,845,024","176,907,556","10,042,757","1,799,882","279,595,219",PSEG,"5,702,254","8,992,538","167,219",NDA,"14,862,012"
Fort Lee Borough,Bergen,2017,PSEG,"89,796,123","176,764,954","14,261,317","1,787,647","282,610,041",PSEG,"5,844,075","10,081,210","176,803",NDA,"16,102,088"
Fort Lee Borough,Bergen,2018,PSEG,"96,474,812","184,584,083","9,403,076","1,670,754","292,132,725",PSEG,"6,524,594","11,303,290","170,866",NDA,"17,998,749"
Fort Lee Borough,Bergen,2019,PSEG,"92,630,087","181,176,439","7,759,665","1,653,631","283,219,822",PSEG,"6,327,608","11,235,270","123,924",NDA,"17,686,803"
Fort Lee Borough,Bergen,2020,PSEG,"96,024,894","171,384,826","7,677,066","1,619,458","276,706,244",PSEG,"5,751,407","10,780,151","108,459",NDA,"16,640,016"
Fort Lee Borough,Bergen,2021,PSEG,"97,959,846","167,463,732","7,162,505","1,638,979","274,225,062",PSEG,"6,053,359","8,915,752","115,561",NDA,"15,084,673"
Fort Lee Borough,Bergen,2022,PSEG,"98,402,112","171,104,288","7,335,313","1,625,250","278,466,963",PSEG,"5,992,174","10,296,930","124,075",NDA,"16,413,179"
Franklin Lakes Borough,Bergen,2016,RECO/PSEG,"70,188,627",NDA,NDA,NDA,"70,188,627",PSEG,"7,616,516","1,467,869","8,572",NDA,"9,092,957"
Franklin Lakes Borough,Bergen,2017,RECO/PSEG,"66,155,871","54,224,640",NDA,NDA,"120,380,511",PSEG,"8,314,670","1,634,224","9,699",NDA,"9,958,593"
Franklin Lakes Borough,Bergen,2018,RECO/PSEG,"69,683,749","55,124,631",NDA,"141,618","124,949,998",PSEG,"9,059,082","1,819,456","11,313",NDA,"10,889,851"
Franklin Lakes Borough,Bergen,2019,RECO/PSEG,"66,889,191","51,834,460",NDA,"139,968","118,863,619",PSEG,"8,950,817","1,731,571","10,417",NDA,"10,692,805"
Franklin Lakes Borough,Bergen,2020,RECO/PSEG,"70,940,789","44,539,162",NDA,"141,032","115,620,983",PSEG,"8,598,490","1,429,802","8,167",NDA,"10,036,459"
Franklin Lakes Borough,Bergen,2021,RECO/PSEG,"71,312,354","45,508,930",NDA,"141,494","116,962,778",PSEG,"9,001,168","1,553,066","7,070",NDA,"10,561,304"
Franklin Lakes Borough,Bergen,2022,RECO/PSEG,"22,760",NDA,NDA,NDA,"22,760",PSEG,"8,739,385","1,638,881","9,117",NDA,"10,387,383"
Garfield City,Bergen,2016,PSEG,"65,980,097","49,761,088","19,166,444","1,264,738","136,172,367",PSEG,"7,387,202","3,081,622","195,987",NDA,"10,664,811"
Garfield City,Bergen,2017,PSEG,"62,779,413","49,439,937","19,240,172","1,290,577","132,750,099",PSEG,"7,654,255","3,258,280","196,918",NDA,"11,109,453"
Garfield City,Bergen,2018,PSEG,"66,502,849","51,536,408","21,998,282","1,285,366","141,322,905",PSEG,"8,361,707","3,620,633","242,297",NDA,"12,224,637"
Garfield City,Bergen,2019,PSEG,"63,563,960","48,016,232","18,310,244","1,343,719","131,234,155",PSEG,"8,147,206","3,399,296","222,501",NDA,"11,769,003"
Garfield City,Bergen,2020,PSEG,"66,340,735","41,740,397","17,500,675","1,417,609","126,999,416",PSEG,"7,481,107","2,992,100","187,848",NDA,"10,661,056"
Garfield City,Bergen,2021,PSEG,"66,180,588","42,002,724","15,718,516","1,372,603","125,274,431",PSEG,"7,749,498","3,094,070","198,539",NDA,"11,042,107"
