Year,County,Total:,"    $10,000 to $14,999","    $100,000 to $124,999","    $125,000 to $149,999","    $15,000 to $19,999","    $150,000 to $199,999","    $20,000 to $24,999","    $200,000 or more","    $25,000 to $29,999","    $30,000 to $34,999","    $35,000 to $39,999","    $40,000 to $44,999","    $45,000 to $49,999","    $50,000 to $59,999","    $60,000 to $74,999","    $75,000 to $99,999","    Less than $10,000"
2017,Atlantic,"97,618","5,634","10,483","6,353","5,490","6,422","4,493","5,969","4,812","4,626","4,350","3,435","2,935","4,916","8,795","11,744","7,161"
2017,Bergen,"338,516","9,141","35,572","27,800","10,719","37,175","10,323","59,629","8,060","9,380","9,202","9,945","8,758","17,317","27,821","43,617","14,057"
2017,Burlington,"164,248","4,531","19,056","14,247","3,714","16,570","5,327","19,008","4,570","4,547","4,435","5,831","4,988","12,325","15,182","24,780","5,137"
2017,Camden,"190,616","7,669","18,241","12,827","8,307","14,616","8,650","15,190","7,622","9,180","5,995","5,745","7,041","13,826","17,634","23,979","14,094"
2017,Cape May,"39,526","1,152","4,214","2,760","1,334","2,363","1,936","2,672",910,"1,824","1,550","1,491","1,104","3,182","5,094","5,327","2,613"
2017,Cumberland,"50,696","2,746","5,184","2,786","3,016","2,282","2,934","1,720","1,865","3,498","1,996","2,302","1,308","4,281","4,664","5,979","4,135"
2017,Essex,"284,928","11,798","21,536","15,609","12,821","19,531","13,475","36,147","12,045","11,887","10,325","12,472","9,540","19,010","21,784","28,810","28,138"
2017,Gloucester,"105,236","2,139","14,911","7,762","3,602","11,680","3,110","9,777","4,434","2,508","4,240","4,086","2,823","6,286","8,950","15,571","3,357"
2017,Hudson,"251,906","11,326","23,238","13,707","10,123","21,749","10,150","29,756","10,034","11,051","10,312","9,477","7,444","15,726","22,418","26,782","18,613"
2017,Hunterdon,"45,967",463,"5,447","4,108","1,086","6,735","1,094","9,888","1,513",885,469,"1,237",579,"1,591","4,356","5,093","1,423"
2017,Mercer,"128,757","4,292","11,587","9,928","4,652","10,659","3,416","19,723","3,764","5,619","3,835","5,323","3,860","7,439","11,526","14,577","8,557"
2017,Middlesex,"285,446","6,365","32,832","22,492","6,378","30,904","8,409","35,538","8,161","9,966","7,451","8,409","9,865","19,820","26,398","38,086","14,372"
2017,Monmouth,"235,727","5,590","23,564","18,956","5,701","30,080","7,798","43,737","5,890","6,853","6,694","6,331","5,926","13,026","19,482","27,069","9,030"
2017,Morris,"180,854","3,663","20,727","16,928","2,388","24,251","4,156","40,756","4,326","4,572","4,412","3,333","4,977","7,662","13,794","20,238","4,671"
2017,Ocean,"225,847","7,933","23,815","16,070","10,257","17,459","9,718","17,582","6,834","10,821","7,988","7,470","8,608","14,930","22,593","32,764","11,005"
2017,Passaic,"168,397","7,494","14,603","10,499","8,556","13,997","6,905","12,002","7,299","7,458","5,940","6,484","5,316","12,840","14,959","22,739","11,306"
2017,Salem,"24,801",888,"2,440","1,651","1,678","1,726","1,266","1,464","1,214",804,"1,232",949,683,"1,560","2,321","2,932","1,993"
2017,Somerset,"114,812","2,634","11,944","10,248","2,369","15,695","3,025","25,628","2,410","2,465","3,000","3,467","2,305","6,499","8,378","12,289","2,456"
